questions_id,questions,num_respondents,options,Clinton_perc,Trump_perc,Others_Unknown_perc,options_perc,state,url
1,Gender,24558,Male,41,52,7,47,nation,http://www.cnn.com/election/results/exit-polls/national/president
1,Gender,24558,Female,54,41,5,53,nation,http://www.cnn.com/election/results/exit-polls/national/president
2,Age,24558,18-29,55,36,9,19,nation,http://www.cnn.com/election/results/exit-polls/national/president
2,Age,24558,30-44,51,41,8,25,nation,http://www.cnn.com/election/results/exit-polls/national/president
2,Age,24558,45-64,44,52,4,40,nation,http://www.cnn.com/election/results/exit-polls/national/president
2,Age,24558,65 and older,45,52,3,16,nation,http://www.cnn.com/election/results/exit-polls/national/president
5,Race,24558,White,37,57,6,71,nation,http://www.cnn.com/election/results/exit-polls/national/president
5,Race,24558,Black,89,8,3,12,nation,http://www.cnn.com/election/results/exit-polls/national/president
5,Race,24558,Latino,66,28,6,11,nation,http://www.cnn.com/election/results/exit-polls/national/president
5,Race,24558,Asian,65,27,8,4,nation,http://www.cnn.com/election/results/exit-polls/national/president
5,Race,24558,Other race,56,36,8,3,nation,http://www.cnn.com/election/results/exit-polls/national/president
9,Education,24558,High school or less,46,51,3,18,nation,http://www.cnn.com/election/results/exit-polls/national/president
9,Education,24558,Some college,43,51,6,32,nation,http://www.cnn.com/election/results/exit-polls/national/president
9,Education,24558,College graduate,49,44,7,32,nation,http://www.cnn.com/election/results/exit-polls/national/president
9,Education,24558,Postgraduate,58,37,5,18,nation,http://www.cnn.com/election/results/exit-polls/national/president
13,Income,24558,"Under $30,000",53,40,7,17,nation,http://www.cnn.com/election/results/exit-polls/national/president
13,Income,24558,"$30K-$49,999",52,41,7,19,nation,http://www.cnn.com/election/results/exit-polls/national/president
13,Income,24558,"$50K-$99,999",46,49,5,30,nation,http://www.cnn.com/election/results/exit-polls/national/president
13,Income,24558,"$100K-$199,999",47,48,5,24,nation,http://www.cnn.com/election/results/exit-polls/national/president
13,Income,24558,"$200K-$249,999",49,47,4,4,nation,http://www.cnn.com/election/results/exit-polls/national/president
13,Income,24558,"$250,000 or more",46,46,8,6,nation,http://www.cnn.com/election/results/exit-polls/national/president
23,Religion,24558,Protestant,36,59,5,27,nation,http://www.cnn.com/election/results/exit-polls/national/president
23,Religion,24558,Catholic,46,50,4,23,nation,http://www.cnn.com/election/results/exit-polls/national/president
23,Religion,24558,Mormon,28,56,16,1,nation,http://www.cnn.com/election/results/exit-polls/national/president
23,Religion,24558,Other Christian,43,54,3,24,nation,http://www.cnn.com/election/results/exit-polls/national/president
23,Religion,24558,Jewish,71,23,6,3,nation,http://www.cnn.com/election/results/exit-polls/national/president
23,Religion,24558,Muslim,0,0,0,1,nation,http://www.cnn.com/election/results/exit-polls/national/president
23,Religion,24558,Other religion,58,32,10,7,nation,http://www.cnn.com/election/results/exit-polls/national/president
23,Religion,24558,No religion,67,25,8,15,nation,http://www.cnn.com/election/results/exit-polls/national/president
25,How often do you attend religious services?,24558,Weekly or more,41,55,4,33,nation,http://www.cnn.com/election/results/exit-polls/national/president
25,How often do you attend religious services?,24558,Monthly,47,49,4,16,nation,http://www.cnn.com/election/results/exit-polls/national/president
25,How often do you attend religious services?,24558,Few times a year,48,46,6,29,nation,http://www.cnn.com/election/results/exit-polls/national/president
25,How often do you attend religious services?,24558,Never,62,30,8,22,nation,http://www.cnn.com/election/results/exit-polls/national/president
85,"Are you gay, lesbian, bisexual or transgender?",24558,Yes,77,14,9,5,nation,http://www.cnn.com/election/results/exit-polls/national/president
85,"Are you gay, lesbian, bisexual or transgender?",24558,No,47,47,6,95,nation,http://www.cnn.com/election/results/exit-polls/national/president
